,"AUTHORIZED FLORIDA INSURER FINANCIAL ABSTRACTS, BY NAIC STATEMENT TYPE",CALENDAR YEAR 2016,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,COMPANY,NAIC,DOMICILE,Net Admitted Assests($),Liabilities($),Capital and Surplus($),Florida Direct Premiums Written($)
1552,TRANSGUARD INS CO OF AMER INC,28886,FOREIGN,299191980,162090049,137101931,4401370
1553,TRANSPORTATION INS CO,20494,FOREIGN,77502251,163539,77338712,18124656
1554,TRAVCO INS CO,28188,FOREIGN,216428471,147064363,69364109,0
1555,TRAVELERS CAS & SURETY CO,19038,FOREIGN,16564340144,10078496703,6485843440,18072211
1556,TRAVELERS CAS & SURETY CO OF AMER,31194,FOREIGN,4195751503,2107562219,2088189284,108776512
1557,TRAVELERS CAS CO OF CT,36170,FOREIGN,321495317,231648746,89846571,0
1558,TRAVELERS CAS INS CO OF AMER,19046,FOREIGN,1937020123,1377012178,560007945,9261890
1559,TRAVELERS COMMERCIAL CAS CO,40282,FOREIGN,326775982,231505993,95269989,0
1560,TRAVELERS COMMERCIAL INS CO,36137,FOREIGN,354847681,260900727,93946954,15707300
1561,TRAVELERS EXCESS & SURPLUS LINES CO,29696,FOREIGN,208350331,143815827,64534504,23243229
1562,TRAVELERS HOME & MARINE INS CO,27998,FOREIGN,374851798,264710005,110141793,92828861
1563,TRAVELERS IND CO,25658,FOREIGN,21180359072,14176892199,7003466873,47086764
1564,TRAVELERS IND CO OF AMER,25666,FOREIGN,615422642,428724858,186697784,77884413
1565,TRAVELERS IND CO OF CT,25682,FOREIGN,1084067809,738965470,345102339,32933520
1566,TRAVELERS PROP CAS CO OF AMER,25674,FOREIGN,837147237,400260190,436887046,149947277
1567,TRAVELERS PROP CAS INS CO,36161,FOREIGN,253746709,182651491,71095217,0
1568,TRI STATE INS CO OF MN,31003,FOREIGN,49754537,16873604,32880933,0
1569,TRINITY UNIVERSAL INS CO,19887,FOREIGN,1900775370,1129327758,771447612,0
1570,TRITON INS CO,41211,FOREIGN,426127909,286665885,139462024,316936
1571,TRIUMPHE CAS CO,41106,FOREIGN,60947013,40987316,19959697,2070387
1572,TRUCK INS EXCH,21709,FOREIGN,2143563965,1527890706,615673259,67383
1573,TRUMBULL INS CO,27120,FOREIGN,226829477,131323196,95506281,3120483
1574,TUDOR INS CO,37982,FOREIGN,263025826,77767696,185258130,1730358
1575,TWIN CITY FIRE INS CO CO,29459,FOREIGN,675475171,394213606,281261565,73234785
1576,TYPTAP INS CO,15885,DOMESTIC,26583857,1857123,24726734,2549924
1577,UNION INS CO,25844,FOREIGN,137099564,92312070,44787494,15416
1578,UNITED AUTOMOBILE INS CO,35319,DOMESTIC,297135704,248896163,48239541,178583758
1579,UNITED CAS & SURETY INS CO,36226,FOREIGN,9149163,2779395,6369768,23814
1580,UNITED CAS INS CO OF AMER,11142,FOREIGN,13079864,2825247,10254617,3943002
1581,UNITED EDUCATORS INS RRG INC,10020,FOREIGN,903208122,611960116,291248006,4884053
1582,UNITED FINANCIAL CAS CO,11770,FOREIGN,2896656105,2232257512,664398593,0
1583,UNITED FIRE & CAS CO,13021,FOREIGN,1893910347,1123002021,770908325,20901233
1584,UNITED FIRE & IND CO,19496,FOREIGN,54319428,34401589,19917839,4817
1585,UNITED GUAR COMM INS CO OF NC,16659,FOREIGN,69058455,10252423,58806032,0
1586,UNITED GUAR MORTGAGE IND CO,26999,FOREIGN,445222547,141504447,303718100,216249
1587,UNITED GUAR RESIDENTIAL INS CO,15873,FOREIGN,3307929353,2121420246,1186509107,35093203
1588,UNITED GUAR RESIDENTIAL INS CO OF NC,16667,FOREIGN,338499772,17747953,320751819,56814
1589,UNITED NATL INS CO,13064,FOREIGN,426777185,248613603,178163582,13234462
1590,UNITED PROP & CAS INS CO,10969,DOMESTIC,603936096,448349439,155586657,341371560
1591,UNITED SERV AUTOMOBILE ASSN,25941,FOREIGN,33796523820,8455502507,25341021313,736838512
1592,UNITED SPECIALTY INS CO,12537,FOREIGN,200479954,71783696,128696259,87121547
1593,UNITED STATES FIDELITY & GUAR CO,25887,FOREIGN,3252085863,2208802630,1043283232,11529
1594,UNITED STATES FIRE INS CO,21113,FOREIGN,3949601255,2730740244,1218861011,65764885
1595,UNITED STATES LIAB INS CO,25895,FOREIGN,1015343740,368081722,647262017,33326201
1596,UNITED STATES SURETY CO,10656,FOREIGN,69992485,22912576,47079909,2028399
1597,UNITED WI INS CO,29157,FOREIGN,415641429,298114462,117526967,7199041
1598,UNITRIN AUTO & HOME INS CO,16063,FOREIGN,76843999,43232058,33611941,0
1599,UNITRIN DIRECT PROP & CAS CO,10915,FOREIGN,14339271,4311454,10027817,4013808
1600,UNIVERSAL FIRE & CAS INS CO,32867,FOREIGN,15414592,8134843,7279749,260497
1601,UNIVERSAL INS CO,31704,FOREIGN,832069662,579118707,252950955,0
1602,UNIVERSAL INS CO OF NA,11986,DOMESTIC,111034941,78298868,32736073,88366254
1603,UNIVERSAL PROP & CAS INS,10861,DOMESTIC,889347671,575595133,313752537,853994909
1604,UNIVERSAL SURETY OF AMER,13200,FOREIGN,14623380,22080,14601300,952165
1605,UNIVERSAL UNDERWRITERS INS CO,41181,FOREIGN,328858520,6228465,322630055,55200638
1606,UPPER HUDSON NATL INS CO,29998,FOREIGN,3101586,1988977,1112609,0
1607,URGENT CARE ASSUR CO RRG INC,12915,FOREIGN,4945684,3268739,1676945,177039
1608,US COASTAL PROP & CAS INS CO,15900,DOMESTIC,29779329,6339573,23439756,1687628
1609,US SPECIALTY INS CO,29599,FOREIGN,1792143025,1273990421,518152604,20434010
1610,USAA CAS INS CO,25968,FOREIGN,10315437132,5825649002,4489788130,489316455
1611,USAA GEN IND CO,18600,FOREIGN,4001369164,2519360337,1482008827,303850297
1612,USPLATE GLASS INS CO,28497,FOREIGN,28143620,6054662,22088958,10975711
1613,UTICA FIRST INS CO,15326,FOREIGN,275019015,143237165,131781850,3168
1614,UTICA MUT INS CO,25976,FOREIGN,2382250200,1516165599,866084601,389433
1615,UV INS RRG INC,13988,FOREIGN,1148733,227286,921447,0
1616,VALLEY FORGE INS CO,20508,FOREIGN,70258564,74628,70183936,26589098
1617,VANLINER INS CO,21172,FOREIGN,405998439,265651868,140346571,11166838
1618,VELOCITY INS CO RRG,15956,FOREIGN,2513710,1005863,1507847,0
1619,VERLAN FIRE INS CO MD,10815,FOREIGN,26550857,26560,26524297,116525
1620,VERTERRA INS CO,10024,FOREIGN,73974981,22979798,50995183,141871
1621,VICTORIA AUTOMOBILE INS CO,10644,FOREIGN,30119432,19163300,10956132,0
1622,VICTORIA FIRE & CAS CO,42889,FOREIGN,122933105,80255030,42678075,13375672
1623,VICTORIA SELECT INS CO,10105,FOREIGN,23407871,14830915,8576956,4675848
1624,VIGILANT INS CO,20397,FOREIGN,508049216,188544462,319504754,13588420
1625,VIRGINIA SURETY CO INC,40827,FOREIGN,1169795980,759798345,409997635,28807277
1626,VOYAGER IND INS CO,40428,FOREIGN,112943795,50118329,62825466,90892505
1627,WARNER INS CO,26085,FOREIGN,12319279,150830,12168449,0
1628,WARRANTY UNDERWRITERS INS CO,43486,FOREIGN,31685926,16154227,15531699,0
1629,WASHINGTON INTL INS CO,32778,FOREIGN,100242374,20190184,80052190,1069150
1630,WATFORD INS CO,25585,FOREIGN,29716065,9052831,20663234,0
1631,WATFORD SPECIALTY INS CO,15824,FOREIGN,69932857,4824919,65107938,567245
1632,WAUSAU BUSINESS INS CO,26069,FOREIGN,34832948,6153636,28679311,-34612
1633,WAUSAU UNDERWRITERS INS CO,26042,FOREIGN,115976280,48392518,67583763,752819
1634,WESCO INS CO,25011,FOREIGN,1903659688,1540152899,363506789,116407289
1635,WEST AMER INS CO,44393,FOREIGN,51406833,1122599,50284233,2291118
1636,WESTCHESTER FIRE INS CO,10030,FOREIGN,1764444470,1061597827,702846643,35584318
1637,WESTCHESTER SURPLUS LINES INS CO,10172,FOREIGN,304643083,186148168,118494915,118601019
1638,WESTERN GEN INS CO,27502,FOREIGN,82894311,62084895,20809416,2018
1639,WESTERN HERITAGE INS CO,37150,FOREIGN,142568379,30356011,112212368,8869434
1640,WESTERN PACIFIC MUT INS CO RRG,40940,FOREIGN,138525308,26058484,112466824,115235
1641,WESTERN SURETY CO,13188,FOREIGN,1998783969,546372979,1452410990,22131694
1642,WESTERN WORLD INS CO,13196,FOREIGN,868939320,452193604,416745716,45090223
1643,WESTFIELD INS CO,24112,FOREIGN,2739569528,1562272936,1177296592,138067304
1644,WESTFIELD NATL INS CO,24120,FOREIGN,659496994,359116674,300380320,1173
1645,WESTON INS CO,14930,DOMESTIC,83071102,38049884,45021218,88289417
1646,WESTPORT INS CORP,39845,FOREIGN,4730102545,3171541265,1558561280,78175921
1647,WHITE PINE INS CO,11932,FOREIGN,78491281,46100113,32391168,15535289
1648,WILLIAMSBURG NATL INS CO,25780,FOREIGN,82092328,49667229,32425099,0
1649,WILSHIRE INS CO,13234,FOREIGN,291606987,182530637,109076350,22957296
1650,WINDHAVEN INS CO,12541,DOMESTIC,200245266,152707501,47537765,354136452
1651,WINDHAVEN NATL INS CO,37001,FOREIGN,5903018,278467,5624551,0
1652,WORK FIRST CAS CO,31232,FOREIGN,42264745,29603243,12661502,199837
1653,WORKMENS AUTO INS CO,13250,FOREIGN,44888828,26260121,18628707,-1032
1654,WRIGHT NATL FLOOD INS CO,11523,FOREIGN,30650606,7144768,23505838,219353992
1655,WRM AMER IND CO INC,20273,FOREIGN,15250587,101413,15149174,0
1656,X L INS CO OF NY,40193,FOREIGN,240365321,165509299,74856021,0
1657,XL INS AMER INC,24554,FOREIGN,825361283,632013231,193348052,30425591
1658,XL REINS AMER INC,20583,FOREIGN,6274096334,4197811942,2076284392,0
1659,XL SELECT,19607,FOREIGN,151390179,104204669,47185510,0
1660,XL SPECIALTY INS CO,37885,FOREIGN,920432332,637122316,283310016,98252728
1661,YEL CO INS,44415,DOMESTIC,15587329,4674014,10913315,1198076
1662,YOSEMITE INS CO,26220,FOREIGN,156490817,93687569,62803248,1132726
1663,ZALE IND CO,30325,FOREIGN,54336404,37030252,17306152,12504070
1664,ZENITH INS CO,13269,FOREIGN,1824568556,1261005974,563562581,139756749
1665,ZURICH AMER INS CO,16535,FOREIGN,31002884451,23151205837,7851678614,368569136
1666,ZURICH AMER INS CO OF IL,27855,FOREIGN,49746624,15541968,34204657,11826423
1667,"TITLE,  TOTAL FLORIDA DIRECT PREMIUMS WRITTEN: $1,363,804,047",,,,,,
1668,ACE CAPITAL TITLE REINS CO,50028,FOREIGN,49146287,3694610,45451677,0
1669,ALLIANT NATL TITLE INS CO INC,12309,FOREIGN,27471703,19692183,7779520,25207109
1670,AMERICAN GUAR TITLE INS CO,51411,FOREIGN,36811049,10251988,26559061,0
1671,CHICAGO TITLE INS CO,50229,DOMESTIC,1904578784,926572661,978006123,172707120
1672,COMMONWEALTH LAND TITLE INS CO,50083,DOMESTIC,672111957,315268865,356843092,39968699
1673,ENTITLE INS CO,51632,FOREIGN,15735429,7225474,8509955,465826
1674,FIDELITY NATL TITLE INS CO,51586,DOMESTIC,1290013277,823450986,466562291,146678869
1675,FIRST AMER TITLE GUAR CO,51624,FOREIGN,24972851,6392248,18580603,0
1676,FIRST AMER TITLE INS CO,50814,FOREIGN,2592919509,1405481678,1187437831,289585873
1677,FIRST NATL TITLE INS CO,14240,FOREIGN,13938525,4758173,9180352,24211
1678,INVESTORS TITLE INS CO,50369,FOREIGN,167031598,82180911,84850687,1188229
1679,NATIONAL INVESTORS TITLE INS CO,50377,FOREIGN,15791634,3370605,12421029,0
1680,NATIONAL TITLE INS OF NY INC,51020,FOREIGN,129927795,67173555,62754240,5517673
1681,NORTH AMER TITLE INS CO,50130,FOREIGN,122094050,48094313,73999737,24732680
1682,OLD REPUBLIC NATL TITLE INS CO,50520,DOMESTIC,1187320632,668699835,518620797,431451804
1683,PREMIER LAND TITLE INS CO,50026,FOREIGN,16218333,7627108,8591225,7399737
1684,STEWART TITLE GUAR CO,50121,FOREIGN,1054247286,544317803,509929483,76257418
1685,TITLE RESOURCES GUAR CO,50016,FOREIGN,78738866,56309605,22429262,27302940
1686,WESTCOR LAND TITLE INS CO,50050,FOREIGN,133170635,96510974,36659661,78808562
1687,WFG NATL TITLE INS CO,51152,FOREIGN,118004385,90366494,27637891,36507297
