,"AUTHORIZED FLORIDA INSURER FINANCIAL ABSTRACTS, BY NAIC STATEMENT TYPE",CALENDAR YEAR 2016,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,COMPANY,NAIC,DOMICILE,Net Admitted Assests($),Liabilities($),Capital and Surplus($),Florida Direct Premiums Written($)
1341,PENNSYLVANIA MANUFACTURERS IND CO,41424,FOREIGN,211349243,136420414,74928829,2321418
1342,PENNSYLVANIA NATL MUT CAS INS CO,14990,FOREIGN,1279710567,667756839,611953728,482235
1343,PEOPLES TRUST INS CO,13125,DOMESTIC,217036375,165128660,51907715,266552943
1344,PERMANENT GEN ASSUR CORP,37648,FOREIGN,417927019,285952220,131974799,41717932
1345,PETROLEUM CAS CO,12297,FOREIGN,34186763,10147141,24039622,-69390
1346,PHARMACISTS MUT INS CO,13714,FOREIGN,291129828,175890053,115239775,1465965
1347,PHILADELPHIA IND INS CO,18058,FOREIGN,8081000333,5809503620,2271496712,192084378
1348,PHOENIX INS CO,25623,FOREIGN,4184070936,2465675561,1718395376,43205069
1349,PHYSICIANS CAS RRG INC,13995,FOREIGN,13911987,10777957,3134027,4632326
1350,PHYSICIANS IND RRG,12746,FOREIGN,5880691,4137250,1743441,2628802
1351,PHYSICIANS INS CO,11588,DOMESTIC,13838664,7531988,6306676,6170950
1352,PHYSICIANS PROFESSIONAL LIAB RRG,11514,FOREIGN,36165227,17392505,18772722,4420916
1353,PHYSICIANS SPECIALTY LTD RRG,11513,FOREIGN,11871935,6237558,5634377,0
1354,PLANS LIAB INS CO,26794,FOREIGN,73334587,40768328,32566259,0
1355,PLATEAU CAS INS CO,10817,FOREIGN,44477130,24354032,20123098,2417601
1356,PLATTE RIVER INS CO,18619,FOREIGN,140046252,96677810,43368442,3265434
1357,PLAZA INS CO,30945,FOREIGN,69869414,42606925,27262489,11040665
1358,PODIATRY INS CO OF AMER,14460,FOREIGN,300975336,180749450,120225886,5518066
1359,PONCE DE LEON LTC RRG INC,11809,DOMESTIC,5960101,1546353,4413748,265495
1360,PRAETORIAN INS CO,37257,FOREIGN,492016349,265228953,226787396,58711390
1361,PREFERRED CONTRACTORS INS CO RRG LLC,12497,FOREIGN,105328428,95293459,10034969,2358798
1362,PREFERRED PHYSICIANS MEDICAL RRG A M,44083,FOREIGN,221499687,90514899,130984788,2057737
1363,PREFERRED PROFESSIONAL INS CO,36234,FOREIGN,325640507,155463536,170176971,524047
1364,PREMIER GRP INS CO INC,10800,FOREIGN,55400884,20404545,34996339,2915360
1365,PREPARED INS CO,13687,DOMESTIC,58262535,38157307,20105228,61320753
1366,PRIME INS CO,12588,FOREIGN,82258711,40769654,41489057,3551766
1367,PRIME PROP & CAS INS INC,14371,FOREIGN,25612541,13300110,12312431,4165200
1368,PRINCETON EXCESS & SURPLUS LINES INS,10786,FOREIGN,155209968,89686839,65523129,24246857
1369,PRIVILEGE UNDERWRITERS RECP EXCH,12873,DOMESTIC,410796667,253706325,157090342,114967561
1370,PROASSURANCE AMER MUT A RRG,15647,FOREIGN,10736577,515201,10221376,3196
1371,PROASSURANCE CAS CO,38954,FOREIGN,1092912418,686066902,406845516,15777115
1372,PROASSURANCE IND CO INC,33391,FOREIGN,1247230903,782477123,464753780,1354478
1373,PROASSURANCE SPECIALTY INS CO,10179,FOREIGN,50394999,19966675,30428324,5110140
1374,PROBUILDERS SPECIALTY INS CO RRG,11671,FOREIGN,13024859,580193,12444666,0
1375,PRODUCERS AGRICULTURE INS CO,34312,FOREIGN,377872127,316534168,61337959,1774814
1376,PROFESSIONAL SECURITY INS CO,11811,FOREIGN,82179973,14081275,68098698,3262088
1377,PROFESSIONALS ADVOCATE INS CO,29017,FOREIGN,136792227,28093676,108698551,0
1378,PROGRESSIVE ADVANCED INS CO,11851,FOREIGN,467638855,268655529,198983326,0
1379,PROGRESSIVE AMER INS CO,24252,FOREIGN,493843386,284515902,209327484,1418901641
1380,PROGRESSIVE BAYSIDE INS CO,17350,FOREIGN,127156891,90251812,36905079,0
1381,PROGRESSIVE CAS INS CO,24260,FOREIGN,6967107398,5148217049,1818890349,3311
1382,PROGRESSIVE DIRECT INS CO,16322,FOREIGN,6727474907,4662115010,2065359897,0
1383,PROGRESSIVE EXPRESS INS CO,10193,FOREIGN,222155796,152131052,70024744,426647539
1384,PROGRESSIVE PROP INS CO,13038,DOMESTIC,97193147,55360534,41832613,109030067
1385,PROGRESSIVE SELECT INS CO,10192,FOREIGN,686644673,487960747,198683926,1146629790
1386,PROGRESSIVE SOUTHEASTERN INS CO,38784,FOREIGN,179886055,113333529,66552526,0
1387,PROGRESSIVE SPECIALTY INS CO,32786,FOREIGN,943046635,679615558,263431077,0
1388,PROPERTY & CAS INS CO OF HARTFORD,34690,FOREIGN,249662410,131439675,118222735,31206148
1389,PROSELECT INS CO,10638,FOREIGN,83084522,58608063,24476459,0
1390,PROTECTIVE INS CO,12416,FOREIGN,785370653,387381032,397989621,14931013
1391,PROTECTIVE PROP & CAS INS CO,35769,FOREIGN,377763638,209146207,168617431,11716549
